CASEID,hunt_fish,scientists,education,ideology,urbanrural
210975,0,60,3,6,small town
210982,1,85,5,6,suburb
210999,1,80,6,6,suburb
211008,0,100,7,2,suburb
211015,0,100,3,4,city
211022,1,15,6,7,rural
211039,1,50,2,6,rural
211060,0,100,5,2,city
211077,0,60,6,4,suburb
211091,0,100,3,2,small town
211107,0,100,2,,suburb
211114,0,85,6,5,city
211121,0,70,1,4,rural
211138,1,100,2,,rural
211145,0,70,1,4,suburb
211152,0,80,3,4,small town
211169,0,70,6,6,suburb
211176,0,80,6,4,city
211183,0,100,3,2,suburb
211190,1,85,1,7,rural
211206,1,100,6,4,small town
211220,1,60,3,7,small town
211237,0,100,2,,small town
211244,1,100,6,3,city
211251,1,50,2,7,rural
211275,0,70,6,7,suburb
211299,0,10,6,5,suburb
211305,,,6,7,
211312,0,40,3,,city
211329,0,100,6,1,small town
211336,1,50,7,6,city
211343,0,85,6,4,small town
211350,0,50,6,5,city
211367,1,75,2,4,suburb
211381,0,,3,,city
211404,0,85,3,3,suburb
211411,,,6,5,
211466,0,85,6,6,suburb
211473,0,85,5,3,suburb
211480,0,100,6,4,small town
211497,0,100,2,,suburb
211503,0,100,2,6,city
211510,0,60,3,5,suburb
211527,0,100,6,2,suburb
211534,0,90,8,2,city
211565,1,70,6,,small town
211572,0,60,2,,city
211589,0,85,2,6,suburb
211596,1,100,7,5,suburb
211619,0,100,6,6,suburb
211626,,,3,3,
211633,0,100,2,,small town
211657,0,85,3,5,small town
211664,0,100,3,4,suburb
211701,0,85,3,2,city
211718,,,1,6,
211725,0,100,3,3,small town
211732,0,40,6,6,rural
211749,,,2,2,
211756,1,85,6,3,suburb
211787,,,3,3,
211800,0,85,3,4,small town
211817,0,85,5,3,small town
211831,1,85,3,,small town
211848,1,10,3,7,rural
211886,0,85,7,6,small town
211893,1,100,6,4,rural
211909,0,100,3,,suburb
211923,0,100,5,4,city
211947,,,6,2,
211954,0,100,8,4,suburb
211961,1,100,3,,suburb
211978,0,70,4,4,small town
211985,0,,2,,small town
211992,0,100,6,5,city
212001,0,100,3,2,city
212018,1,50,2,7,small town
212025,,,7,1,
212032,1,100,5,4,rural
212056,0,80,3,,city
212063,0,40,7,7,suburb
212070,0,65,3,4,city
212094,0,85,8,5,city
212100,,85,6,6,small town
212124,0,70,6,4,suburb
212131,0,85,2,5,small town
212148,1,85,6,6,suburb
212162,0,50,3,,rural
212179,0,85,7,2,suburb
212186,0,50,6,3,rural
212193,0,50,4,5,city
212209,1,70,2,,rural
212223,1,100,2,4,rural
212230,0,70,1,,suburb
212247,0,100,1,2,suburb
212254,0,100,4,4,city
212285,0,95,7,1,suburb
212292,0,100,4,4,suburb
212308,0,100,6,2,suburb
212315,0,85,4,,city
212322,1,60,2,6,rural
212339,0,50,6,3,city
212346,0,100,3,4,rural
212377,0,100,2,2,small town
212391,1,50,6,6,city
212407,1,70,5,6,small town
212421,0,85,7,4,suburb
212438,0,85,2,2,city
212445,,,6,3,
212452,0,70,2,,small town
212469,1,85,2,4,suburb
212476,0,70,2,6,rural
212483,0,90,7,2,suburb
212490,0,50,2,,small town
212506,0,70,6,,city
212513,,,4,3,
212537,0,70,2,7,city
212544,0,100,6,2,suburb
212551,0,85,6,5,small town
212568,1,75,6,6,rural
212575,0,100,3,6,suburb
212582,0,100,3,3,small town
212599,,,6,7,
212605,0,70,3,4,city
212612,0,85,2,,suburb
212636,1,70,2,6,city
212643,0,100,7,4,city
212650,1,40,1,5,rural
212667,0,50,1,,rural
212674,0,70,3,2,rural
212681,0,100,8,2,suburb
212698,0,100,3,4,city
212704,1,50,5,4,rural
212728,0,85,6,,city
212742,,,2,,
212766,0,100,2,3,small town
212773,,,3,7,
212780,0,100,6,3,suburb
212797,1,80,7,6,small town
212803,0,85,4,4,rural
212827,0,70,7,4,suburb
212834,,,2,6,
212841,0,100,5,1,city
212858,1,100,2,,suburb
212865,0,50,3,6,small town
